metric,occurrences,total_possible,missing_ratio
InterestExpenseTradingLiabilities,369,464,0.20474137931034486
OilAndGasPropertySuccessfulEffortMethodGross,347,443,0.21670428893905191
NoninterestBearingDepositLiabilitiesForeign,324,331,0.02114803625377648
PartnersCapitalOther,321,416,0.22836538461538458
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAndAmortization,282,383,0.26370757180156656
SuppliesExpense,225,316,0.2879746835443038
IncreaseDecreaseInPayablesToCustomers,208,293,0.2901023890784983
PolicyholderDividends,206,265,0.22264150943396221
PaymentsForNuclearFuel,198,279,0.29032258064516125
IncreaseDecreaseInHealthCareInsuranceLiabilities,196,197,0.005076142131979711
PolicyholderBenefitsAndClaimsIncurredHealthCare,193,264,0.2689393939393939
CostOfPurchasedWater,183,238,0.23109243697478987
AircraftMaintenanceMaterialsAndRepairs,179,206,0.1310679611650486
LandingFeesAndOtherRentals,178,190,0.06315789473684208
CustomerSecuritiesForWhichEntityHasRightToSellOrRepledgeFairValueOfSecuritiesSoldOrRepledged,175,237,0.2616033755274262
InterestAndFeeIncomeLoansCommercial,174,242,0.28099173553719003
FairValueOptionLoansHeldAsAssetsAggregateDifference,154,201,0.23383084577114432
CashCashEquivalentsAndFederalFundsSold,153,198,0.2272727272727273
PolicyholderDividendsPayable,149,199,0.25125628140703515
AssetsDesignatedToClosedBlockFixedMaturityAvailableForSaleAtFairValue,141,200,0.29500000000000004
ClosedBlockOperationsPremiums,141,200,0.29500000000000004
ClosedBlockOperationsRevenue,141,200,0.29500000000000004
ClosedBlockOperationsPolicyholderDividends,141,200,0.29500000000000004
ClosedBlockLiabilitiesOtherClosedBlockLiabilities,141,200,0.29500000000000004
ClosedBlockOperationsResultsBeforeIncomeTaxes,141,200,0.29500000000000004
ClosedBlockOperationsRealizedInvestmentGainsLosses,141,200,0.29500000000000004
ExcessOfReportedClosedBlockLiabilitiesOverAssetsDesignatedToClosedBlock,141,200,0.29500000000000004
ClosedBlockOperationsIncomeTaxes,141,200,0.29500000000000004
ClosedBlockAssetsAndLiabilitiesMaximumFutureEarningsToBeRecognized,141,200,0.29500000000000004
AssetsDesignatedToClosedBlock,141,200,0.29500000000000004
ClosedBlockLiabilities,141,200,0.29500000000000004
ClosedBlockOperationsBenefitsAndExpense,141,200,0.29500000000000004
ClosedBlockOperationsNetResults,141,200,0.29500000000000004
ClosedBlockOperationsNetInvestmentIncome,141,200,0.29500000000000004
ClosedBlockLiabilitiesPolicyholderDividendsPayable,141,200,0.29500000000000004
AssetsDesignatedToClosedBlockPolicyLoans,141,200,0.29500000000000004
ClosedBlockLiabilitiesPolicyholderDividendObligation,141,200,0.29500000000000004
DirectCommunicationsAndUtilitiesCosts,126,126,0.0
ClosedBlockInvestmentsAvailableForSaleChangeInUnrealizedAppreciation,125,133,0.06015037593984962
ClosedBlockOperationsPolicyholderBenefits,125,133,0.06015037593984962
AirlineCapacityPurchaseArrangements,118,124,0.048387096774193505
DepositsOnFlightEquipment,116,129,0.10077519379844957
AirlineRelatedInventoryValuationReserves,115,124,0.07258064516129037
ClosedBlockDividendObligationChangeInUnrealizedInvestmentGainsLosses,113,133,0.15037593984962405
AirlineRelatedInventoryNet,108,124,0.12903225806451613
ProceedsFromAnnuitiesAndInvestmentCertificates,105,141,0.25531914893617025
RepaymentsOfAnnuitiesAndInvestmentCertificates,105,141,0.25531914893617025
ClosedBlockAssetsAndLiabilitiesChangeInPolicyholderDividendObligation,105,133,0.21052631578947367
PremiumsWrittenGross,93,126,0.26190476190476186
NetChangeInterestBearingDepositsDomestic,81,107,0.2429906542056075
IncreaseDecreaseInFilmCosts1,78,88,0.11363636363636365
InventoryGasInStorageUndergroundNoncurrent,69,96,0.28125
ProceedsFromCollectionOfPolicyLoans,66,66,0.0
NetChangeAnnuitiesAndInvestmentCertificates,66,66,0.0
AssetsDesignatedToClosedBlockRealEstate,63,67,0.05970149253731338
ExtendedProductWarrantyAccrualPreexistingIncreaseDecrease,63,67,0.05970149253731338
ClosedBlockOperationsOtherRevenue,62,66,0.06060606060606055
AmortizationOfDeferredPropertyTaxes,62,67,0.07462686567164178
ClosedBlockOperationsChangeInPolicyholderBenefitsAndInterestCreditedToPolicyholderAccountBalances,62,66,0.06060606060606055
MalpracticeLossContingencyAccrualUndiscounted,61,67,0.08955223880597019
InterestExpenseNOWAccountsMoneyMarketAccountsAndSavingsDeposits,59,63,0.06349206349206349
CapitalAccumulationPlans,59,67,0.11940298507462688
AgriculturalRelatedInventoryGrowingCrops,58,62,0.06451612903225812
PaymentsForFlightEquipment,58,61,0.049180327868852514
InventoryFinishedHomes,58,58,0.0
AgriculturalRelatedInventoryFeedAndSupplies,54,58,0.06896551724137934
